"REF_DATE","GEO","DGUID","National Occupational Classification","Job vacancy characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Newfoundland and Labrador","2016A000210","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104587628","2.1.5.2","23.2","C","","","1"
"2023-04","Newfoundland and Labrador","2016A000210","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104587628","2.1.5.2","26.7","B","","","1"
"2023-07","Newfoundland and Labrador","2016A000210","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104587628","2.1.5.2","32.1","B","","","1"
"2023-01","Newfoundland and Labrador","2016A000210","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104587631","2.1.6.2","25.2","C","","","1"
"2023-04","Newfoundland and Labrador","2016A000210","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104587631","2.1.6.2","23.4","B","","","1"
"2023-07","Newfoundland and Labrador","2016A000210","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104587631","2.1.6.2","21.6","B","","","1"
"2023-01","Newfoundland and Labrador","2016A000210","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104587634","2.1.7.2","33.8","C","","","1"
"2023-04","Newfoundland and Labrador","2016A000210","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104587634","2.1.7.2","38.5","B","","","1"
"2023-07","Newfoundland and Labrador","2016A000210","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104587634","2.1.7.2","30.1","B","","","1"
"2023-01","Newfoundland and Labrador","2016A000210","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104587643","2.1.10.2","5.1","E","","","1"
"2023-04","Newfoundland and Labrador","2016A000210","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104587643","2.1.10.2","1.4","D","","","1"
"2023-07","Newfoundland and Labrador","2016A000210","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104587643","2.1.10.2","2.2","D","","","1"
"2023-01","Newfoundland and Labrador","2016A000210","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104587649","2.1.12.2","9.0","D","","","1"
"2023-04","Newfoundland and Labrador","2016A000210","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104587649","2.1.12.2","8.3","C","","","1"
"2023-07","Newfoundland and Labrador","2016A000210","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104587649","2.1.12.2","11.6","C","","","1"
"2023-01","Newfoundland and Labrador","2016A000210","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104587652","2.1.13.2","","F","","","1"
"2023-04","Newfoundland and Labrador","2016A000210","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104587652","2.1.13.2","1.7","D","","","1"
"2023-07","Newfoundland and Labrador","2016A000210","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104587652","2.1.13.2","2.4","D","","","1"
"2023-01","Prince Edward Island","2016A000211","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104678972","3.1.5.2","38.7","C","","","1"
"2023-04","Prince Edward Island","2016A000211","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104678972","3.1.5.2","47.8","B","","","1"
"2023-07","Prince Edward Island","2016A000211","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104678972","3.1.5.2","34.6","D","","","1"
"2023-01","Prince Edward Island","2016A000211","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104678975","3.1.6.2","17.4","C","","","1"
"2023-04","Prince Edward Island","2016A000211","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104678975","3.1.6.2","20.6","C","","","1"
"2023-07","Prince Edward Island","2016A000211","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104678975","3.1.6.2","24.0","D","","","1"
"2023-01","Prince Edward Island","2016A000211","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104678978","3.1.7.2","27.0","C","","","1"
"2023-04","Prince Edward Island","2016A000211","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104678978","3.1.7.2","17.9","C","","","1"
"2023-07","Prince Edward Island","2016A000211","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104678978","3.1.7.2","24.9","C","","","1"
"2023-01","Prince Edward Island","2016A000211","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104678987","3.1.10.2","2.0","E","","","1"
"2023-04","Prince Edward Island","2016A000211","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104678987","3.1.10.2","1.3","E","","","1"
"2023-07","Prince Edward Island","2016A000211","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104678987","3.1.10.2","1.2","E","","","1"
"2023-01","Prince Edward Island","2016A000211","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104678993","3.1.12.2","13.5","D","","","1"
"2023-04","Prince Edward Island","2016A000211","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104678993","3.1.12.2","9.4","D","","","1"
"2023-07","Prince Edward Island","2016A000211","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104678993","3.1.12.2","12.2","D","","","1"
"2023-01","Prince Edward Island","2016A000211","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104678996","3.1.13.2","1.4","D","","","1"
"2023-04","Prince Edward Island","2016A000211","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104678996","3.1.13.2","3.0","E","","","1"
"2023-07","Prince Edward Island","2016A000211","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104678996","3.1.13.2","3.2","E","","","1"
"2023-01","Nova Scotia","2016A000212","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104770316","4.1.5.2","30.4","B","","","1"
"2023-04","Nova Scotia","2016A000212","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104770316","4.1.5.2","34.1","A","","","1"
"2023-07","Nova Scotia","2016A000212","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104770316","4.1.5.2","32.6","B","","","1"
"2023-01","Nova Scotia","2016A000212","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104770319","4.1.6.2","27.9","B","","","1"
"2023-04","Nova Scotia","2016A000212","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104770319","4.1.6.2","24.8","B","","","1"
"2023-07","Nova Scotia","2016A000212","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104770319","4.1.6.2","23.7","B","","","1"
"2023-01","Nova Scotia","2016A000212","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104770322","4.1.7.2","25.8","B","","","1"
"2023-04","Nova Scotia","2016A000212","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104770322","4.1.7.2","25.5","B","","","1"
"2023-07","Nova Scotia","2016A000212","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104770322","4.1.7.2","25.6","B","","","1"
"2023-01","Nova Scotia","2016A000212","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104770331","4.1.10.2","4.5","C","","","1"
"2023-04","Nova Scotia","2016A000212","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104770331","4.1.10.2","5.0","C","","","1"
"2023-07","Nova Scotia","2016A000212","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104770331","4.1.10.2","4.6","C","","","1"
"2023-01","Nova Scotia","2016A000212","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104770337","4.1.12.2","9.1","C","","","1"
"2023-04","Nova Scotia","2016A000212","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104770337","4.1.12.2","8.2","C","","","1"
"2023-07","Nova Scotia","2016A000212","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104770337","4.1.12.2","10.1","C","","","1"
"2023-01","Nova Scotia","2016A000212","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104770340","4.1.13.2","2.2","C","","","1"
"2023-04","Nova Scotia","2016A000212","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104770340","4.1.13.2","2.4","C","","","1"
"2023-07","Nova Scotia","2016A000212","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104770340","4.1.13.2","3.3","D","","","1"
"2023-01","New Brunswick","2016A000213","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104861660","5.1.5.2","33.7","B","","","1"
"2023-04","New Brunswick","2016A000213","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104861660","5.1.5.2","34.5","B","","","1"
"2023-07","New Brunswick","2016A000213","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104861660","5.1.5.2","31.2","B","","","1"
"2023-01","New Brunswick","2016A000213","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104861663","5.1.6.2","26.5","B","","","1"
"2023-04","New Brunswick","2016A000213","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104861663","5.1.6.2","27.3","B","","","1"
"2023-07","New Brunswick","2016A000213","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104861663","5.1.6.2","28.4","B","","","1"
"2023-01","New Brunswick","2016A000213","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104861666","5.1.7.2","25.8","B","","","1"
"2023-04","New Brunswick","2016A000213","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104861666","5.1.7.2","22.0","B","","","1"
"2023-07","New Brunswick","2016A000213","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104861666","5.1.7.2","24.4","B","","","1"
"2023-01","New Brunswick","2016A000213","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104861675","5.1.10.2","3.3","D","","","1"
"2023-04","New Brunswick","2016A000213","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104861675","5.1.10.2","2.0","C","","","1"
"2023-07","New Brunswick","2016A000213","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104861675","5.1.10.2","2.0","D","","","1"
"2023-01","New Brunswick","2016A000213","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104861681","5.1.12.2","9.1","B","","","1"
"2023-04","New Brunswick","2016A000213","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104861681","5.1.12.2","11.3","B","","","1"
"2023-07","New Brunswick","2016A000213","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104861681","5.1.12.2","11.3","B","","","1"
"2023-01","New Brunswick","2016A000213","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104861684","5.1.13.2","1.5","D","","","1"
"2023-04","New Brunswick","2016A000213","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104861684","5.1.13.2","2.8","C","","","1"
"2023-07","New Brunswick","2016A000213","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104861684","5.1.13.2","2.6","C","","","1"
"2023-01","Quebec","2016A000224","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104953004","6.1.5.2","32.0","A","","","1"
"2023-04","Quebec","2016A000224","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104953004","6.1.5.2","33.8","A","","","1"
"2023-07","Quebec","2016A000224","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v104953004","6.1.5.2","30.5","A","","","1"
"2023-01","Quebec","2016A000224","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104953007","6.1.6.2","19.1","A","","","1"
"2023-04","Quebec","2016A000224","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104953007","6.1.6.2","18.8","A","","","1"
"2023-07","Quebec","2016A000224","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v104953007","6.1.6.2","19.1","A","","","1"
"2023-01","Quebec","2016A000224","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104953010","6.1.7.2","32.1","A","","","1"
"2023-04","Quebec","2016A000224","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104953010","6.1.7.2","33.1","A","","","1"
"2023-07","Quebec","2016A000224","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v104953010","6.1.7.2","34.4","A","","","1"
"2023-01","Quebec","2016A000224","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104953019","6.1.10.2","2.5","B","","","1"
"2023-04","Quebec","2016A000224","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104953019","6.1.10.2","1.5","B","","","1"
"2023-07","Quebec","2016A000224","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104953019","6.1.10.2","1.9","B","","","1"
"2023-01","Quebec","2016A000224","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104953025","6.1.12.2","12.1","A","","","1"
"2023-04","Quebec","2016A000224","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104953025","6.1.12.2","10.6","A","","","1"
"2023-07","Quebec","2016A000224","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v104953025","6.1.12.2","11.7","A","","","1"
"2023-01","Quebec","2016A000224","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104953028","6.1.13.2","2.1","B","","","1"
"2023-04","Quebec","2016A000224","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104953028","6.1.13.2","2.1","B","","","1"
"2023-07","Quebec","2016A000224","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v104953028","6.1.13.2","2.4","B","","","1"
"2023-01","Ontario","2016A000235","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105044348","7.1.5.2","26.8","A","","","1"
"2023-04","Ontario","2016A000235","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105044348","7.1.5.2","30.6","A","","","1"
"2023-07","Ontario","2016A000235","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105044348","7.1.5.2","29.5","A","","","1"
"2023-01","Ontario","2016A000235","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v105044351","7.1.6.2","24.9","A","","","1"
"2023-04","Ontario","2016A000235","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v105044351","7.1.6.2","24.2","A","","","1"
"2023-07","Ontario","2016A000235","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v105044351","7.1.6.2","22.9","A","","","1"
"2023-01","Ontario","2016A000235","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v105044354","7.1.7.2","28.1","A","","","1"
"2023-04","Ontario","2016A000235","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v105044354","7.1.7.2","25.7","A","","","1"
"2023-07","Ontario","2016A000235","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v105044354","7.1.7.2","27.3","A","","","1"
"2023-01","Ontario","2016A000235","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v105044363","7.1.10.2","4.1","A","","","1"
"2023-04","Ontario","2016A000235","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v105044363","7.1.10.2","4.4","A","","","1"
"2023-07","Ontario","2016A000235","Total, all occupations","University certificate or diploma below bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v105044363","7.1.10.2","4.5","A","","","1"
"2023-01","Ontario","2016A000235","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v105044369","7.1.12.2","12.6","A","","","1"
"2023-04","Ontario","2016A000235","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v105044369","7.1.12.2","11.9","A","","","1"
"2023-07","Ontario","2016A000235","Total, all occupations","Bachelor's degree","Proportion of job vacancies","Percentage","242","units","0","v105044369","7.1.12.2","12.4","A","","","1"
"2023-01","Ontario","2016A000235","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v105044372","7.1.13.2","3.5","B","","","1"
"2023-04","Ontario","2016A000235","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v105044372","7.1.13.2","3.2","B","","","1"
"2023-07","Ontario","2016A000235","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Proportion of job vacancies","Percentage","242","units","0","v105044372","7.1.13.2","3.3","B","","","1"
"2023-01","Manitoba","2016A000246","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105135692","8.1.5.2","32.8","B","","","1"
"2023-04","Manitoba","2016A000246","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105135692","8.1.5.2","38.1","A","","","1"
"2023-07","Manitoba","2016A000246","Total, all occupations","No minimum level of education required","Proportion of job vacancies","Percentage","242","units","0","v105135692","8.1.5.2","35.5","B","","","1"
"2023-01","Manitoba","2016A000246","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v105135695","8.1.6.2","30.4","A","","","1"
"2023-04","Manitoba","2016A000246","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v105135695","8.1.6.2","28.2","B","","","1"
"2023-07","Manitoba","2016A000246","Total, all occupations","High school diploma or equivalent","Proportion of job vacancies","Percentage","242","units","0","v105135695","8.1.6.2","29.4","B","","","1"
"2023-01","Manitoba","2016A000246","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v105135698","8.1.7.2","21.4","B","","","1"
"2023-04","Manitoba","2016A000246","Total, all occupations","Non-university certificate or diploma","Proportion of job vacancies","Percentage","242","units","0","v105135698","8.1.7.2","20.7","B","","","1"
