"REF_DATE","GEO","DGUID","National Occupational Classification","Job vacancy characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Newfoundland and Labrador","2016A000210","Total, all occupations","No minimum level of education required","Job vacancies","Number","223","units","0","v104587627","2.1.5.1","1345","D","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Total, all occupations","No minimum level of education required","Job vacancies","Number","223","units","0","v104587627","2.1.5.1","2305","B","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Total, all occupations","No minimum level of education required","Job vacancies","Number","223","units","0","v104587627","2.1.5.1","2340","C","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Total, all occupations","High school diploma or equivalent","Job vacancies","Number","223","units","0","v104587630","2.1.6.1","1460","C","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Total, all occupations","High school diploma or equivalent","Job vacancies","Number","223","units","0","v104587630","2.1.6.1","2020","B","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Total, all occupations","High school diploma or equivalent","Job vacancies","Number","223","units","0","v104587630","2.1.6.1","1580","C","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Total, all occupations","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v104587633","2.1.7.1","1955","C","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Total, all occupations","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v104587633","2.1.7.1","3330","B","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Total, all occupations","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v104587633","2.1.7.1","2200","B","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Total, all occupations","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v104587642","2.1.10.1","295","E","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Total, all occupations","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v104587642","2.1.10.1","120","C","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Total, all occupations","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v104587642","2.1.10.1","155","D","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Total, all occupations","Bachelor's degree","Job vacancies","Number","223","units","0","v104587648","2.1.12.1","520","D","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Total, all occupations","Bachelor's degree","Job vacancies","Number","223","units","0","v104587648","2.1.12.1","720","C","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Total, all occupations","Bachelor's degree","Job vacancies","Number","223","units","0","v104587648","2.1.12.1","845","C","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v104587651","2.1.13.1","","F","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v104587651","2.1.13.1","150","C","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v104587651","2.1.13.1","180","D","","","0"
"2023-01","Prince Edward Island","2016A000211","Total, all occupations","No minimum level of education required","Job vacancies","Number","223","units","0","v104678971","3.1.5.1","1165","D","","","0"
"2023-04","Prince Edward Island","2016A000211","Total, all occupations","No minimum level of education required","Job vacancies","Number","223","units","0","v104678971","3.1.5.1","1960","C","","","0"
"2023-07","Prince Edward Island","2016A000211","Total, all occupations","No minimum level of education required","Job vacancies","Number","223","units","0","v104678971","3.1.5.1","1120","D","","","0"
"2023-01","Prince Edward Island","2016A000211","Total, all occupations","High school diploma or equivalent","Job vacancies","Number","223","units","0","v104678974","3.1.6.1","525","C","","","0"
"2023-04","Prince Edward Island","2016A000211","Total, all occupations","High school diploma or equivalent","Job vacancies","Number","223","units","0","v104678974","3.1.6.1","845","D","","","0"
"2023-07","Prince Edward Island","2016A000211","Total, all occupations","High school diploma or equivalent","Job vacancies","Number","223","units","0","v104678974","3.1.6.1","780","D","","","0"
"2023-01","Prince Edward Island","2016A000211","Total, all occupations","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v104678977","3.1.7.1","815","D","","","0"
"2023-04","Prince Edward Island","2016A000211","Total, all occupations","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v104678977","3.1.7.1","735","C","","","0"
"2023-07","Prince Edward Island","2016A000211","Total, all occupations","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v104678977","3.1.7.1","805","D","","","0"
"2023-01","Prince Edward Island","2016A000211","Total, all occupations","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v104678986","3.1.10.1","60","E","","","0"
"2023-04","Prince Edward Island","2016A000211","Total, all occupations","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v104678986","3.1.10.1","55","E","","","0"
"2023-07","Prince Edward Island","2016A000211","Total, all occupations","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v104678986","3.1.10.1","40","E","","","0"
"2023-01","Prince Edward Island","2016A000211","Total, all occupations","Bachelor's degree","Job vacancies","Number","223","units","0","v104678992","3.1.12.1","410","C","","","0"
"2023-04","Prince Edward Island","2016A000211","Total, all occupations","Bachelor's degree","Job vacancies","Number","223","units","0","v104678992","3.1.12.1","385","D","","","0"
"2023-07","Prince Edward Island","2016A000211","Total, all occupations","Bachelor's degree","Job vacancies","Number","223","units","0","v104678992","3.1.12.1","395","D","","","0"
"2023-01","Prince Edward Island","2016A000211","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v104678995","3.1.13.1","40","D","","","0"
"2023-04","Prince Edward Island","2016A000211","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v104678995","3.1.13.1","125","E","","","0"
"2023-07","Prince Edward Island","2016A000211","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v104678995","3.1.13.1","105","E","","","0"
"2023-01","Nova Scotia","2016A000212","Total, all occupations","No minimum level of education required","Job vacancies","Number","223","units","0","v104770315","4.1.5.1","5705","B","","","0"
"2023-04","Nova Scotia","2016A000212","Total, all occupations","No minimum level of education required","Job vacancies","Number","223","units","0","v104770315","4.1.5.1","7015","B","","","0"
"2023-07","Nova Scotia","2016A000212","Total, all occupations","No minimum level of education required","Job vacancies","Number","223","units","0","v104770315","4.1.5.1","6085","B","","","0"
"2023-01","Nova Scotia","2016A000212","Total, all occupations","High school diploma or equivalent","Job vacancies","Number","223","units","0","v104770318","4.1.6.1","5230","B","","","0"
